candidate_id,era,artist,title,requested_version,route,primary_teaching_job,region,selection_status,soundcloud_url,uploader,availability_status,source_notes
HH-C001,precursor,The Last Poets,When the Revolution Comes,original album version,substantive-message,spoken-word militancy and ensemble rhythm,New York,recognition_prompt,,,unresolved,precursor context without claiming a single invention line
HH-C002,precursor,Gil Scott-Heron,The Revolution Will Not Be Televised,original album version,substantive-message,media critique and spoken rhythmic address,New York,recognition_prompt,,,unresolved,precursor context without reducing later rap to direct descent
HH-C003,1979-1984,Brother D with Collective Effort,How We Gonna Make the Black Nation Rise?,original 12-inch version,substantive-message,early explicitly political recorded rap,New York,recognition_prompt,,,unresolved,exact version and historical claim require source audit
HH-C004,1979-1984,Grandmaster Flash and the Furious Five,The Message,original 12-inch version,substantive-message,social reportage becoming a major commercial rap form,New York,recognition_prompt,,,unresolved,verify exact artist credit and mix
HH-C005,1988-1992,Public Enemy,Fight the Power,original soundtrack or single version to be decided,substantive-message,collective political address through dense production,New York,recognition_prompt,,,unresolved,version decision required
HH-C006,1988-1992,Boogie Down Productions,You Must Learn,original album version,substantive-message,pedagogy and historical argument inside rap,New York,recognition_prompt,,,unresolved,
HH-C007,1988-1992,Queen Latifah,Ladies First,original album version,substantive-message,Black feminist authority and transatlantic collaboration,New Jersey / London,recognition_prompt,,,unresolved,
HH-C008,1988-1992,X-Clan,Funkin' Lesson,original album version,substantive-message,Afrocentric language and funk genealogy,New York,recognition_prompt,,,unresolved,
HH-C009,1988-1992,Brand Nubian,Wake Up,original album version,substantive-message,political-spiritual argument within golden-age production,New York,recognition_prompt,,,unresolved,lyrics and ideological framing require careful contextualization
HH-C010,1988-1992,Paris,The Devil Made Me Do It,original album version,substantive-message,West Coast political militancy and self-production,San Francisco Bay Area,recognition_prompt,,,unresolved,
HH-C011,1988-1992,Arrested Development,Tennessee,original album version,substantive-message,Southern spirituality memory and crossover,Atlanta,recognition_prompt,,,unresolved,
HH-C012,1988-1992,The Disposable Heroes of Hiphoprisy,Television the Drug of the Nation,original album version,substantive-message,media criticism and industrial-textural crossover,San Francisco,recognition_prompt,,,unresolved,verify preferred recording versus earlier Beatnigs lineage
HH-C013,1992-1996,The Coup,Dig It!,original album version,substantive-message,radical politics wit and Bay Area funk,Oakland,recognition_prompt,,,unresolved,
HH-C014,1992-1996,Common,I Used to Love H.E.R.,original album version,substantive-message,allegorical criticism of hip-hop's changing values,Chicago,recognition_prompt,,,unresolved,include competing readings rather than endorse its thesis wholesale
HH-C015,1996-2000,The Roots,What They Do,original album version,substantive-message,critique of commercial performance and video convention,Philadelphia,recognition_prompt,,,unresolved,
HH-C016,1996-2000,Black Star,Definition,original album version,substantive-message,lyrical community and anti-violence address,New York,recognition_prompt,,,unresolved,
HH-C017,1996-2000,Dead Prez,Hip-Hop,original album version,substantive-message,political critique delivered through severe low-end economy,New York,recognition_prompt,,,unresolved,
