order,tier,requested_artist,requested_track,requested_version,requested_year,spotify_uri,spotify_url,spotify_artist,spotify_title,spotify_album,spotify_release_date,spotify_duration_ms,spotify_isrc,market,is_playable,linked_from_uri,version_verdict,evidence_note,checked_at
1,main,King Tubby,Dub from the Roots,album version,1974,spotify:track:5e59hbW92JjVoqf2fnBSWy,https://open.spotify.com/track/5e59hbW92JjVoqf2fnBSWy,King Tubby,Dub From The Roots,Dub From The Roots,1975-01-01,256359,GBBZV7453116,US,true,,accepted,Reviewed candidate selected: Playable 4:16 title track on Spotify's 1975 Dub From The Roots album entity; later dub-named and compilation variants excluded.,2026-08-19T02:15:32Z
2,main,Donna Summer,I Feel Love,original 12-inch version,1977,spotify:track:7B7lf3sIze5VR2WuYttn18,https://open.spotify.com/track/7B7lf3sIze5VR2WuYttn18,Donna Summer,"I Feel Love - 12"" Version",Bad Girls (Deluxe Edition),1979-04-25,495186,USPR37800054,US,true,,accepted,"Reviewed candidate selected: Explicit 12 inch version title, 8:15 duration, and original recording ISRC agree.",2026-08-19T02:09:43Z
3,main,Yellow Magic Orchestra,Rydeen,album version,1979,spotify:track:0RAXoT7hwOoqAXI95ryxT5,https://open.spotify.com/track/0RAXoT7hwOoqAXI95ryxT5,"YELLOW MAGIC ORCHESTRA, 吉沢典夫",RYDEEN,Solid State Survivor,1979-09-25,266360,JPAL09900370,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:37Z
4,main,Kraftwerk,Numbers,album version,1981,spotify:track:7l6zV8bdJs6LtYMdjAn2BJ,https://open.spotify.com/track/7l6zV8bdJs6LtYMdjAn2BJ,Kraftwerk,Numbers - 2009 Remaster,Computer World (2009 Remaster),1981,200333,GB01A0900381,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:38Z
5,main,D-Train,You're the One for Me,12-inch vocal version,1981,,,,,,,,,,,,unavailable,"Requested version unavailable: The documented 1981 12-inch vocal is about 6:59; Spotify search exposes 4:09 album edits, later Labor of Love mixes, or a 7:25 mastermix, but no matching playable original vocal master.",2026-08-19T02:15:59Z
6,main,Patrick Cowley feat. Sylvester,Do Ya Wanna Funk,12-inch version,1982,spotify:track:03bPizm2zHjY4AdSR2SJpR,https://open.spotify.com/track/03bPizm2zHjY4AdSR2SJpR,"Patrick Cowley, Sylvester",Do You Wanna Funk?,Patrick Cowley's Greatest Hits,1981-01-01,406053,CAU118200125,US,true,,accepted,Reviewed candidate selected: Full 6:46 recording matches the approximately 6:47 original 12-inch version; shorter edits and named remixes excluded.,2026-08-19T02:15:32Z
7,main,Afrika Bambaataa & the Soulsonic Force,Planet Rock,original 12-inch version,1982,spotify:track:5aD3fAa1fy8XUesj3lgr19,https://open.spotify.com/track/5aD3fAa1fy8XUesj3lgr19,"Afrika Bambaataa, The Soulsonic Force","Planet Rock - Original 12"" Version",Planet Rock: The Album,1986-12-01,383960,USTB10500020,US,true,,accepted,Reviewed candidate selected: Explicit Original 12 inch Version title and 6:24 duration agree.,2026-08-19T02:09:44Z
8,main,Cybotron,Clear,original version,1983,spotify:track:2SAxKE5inx2L97qM3rfrr5,https://open.spotify.com/track/2SAxKE5inx2L97qM3rfrr5,Cybotron,Clear,Enter (Deluxe Edition),2023-11-28,292273,USC4R1800643,US,true,,accepted,Reviewed candidate selected: Full Clear recording by Cybotron; all recorded alternatives are later remixes.,2026-08-19T02:10:33Z
9,main,Shannon,Let the Music Play,12-inch version,1983,spotify:track:3tWaj9DJqVclcOmDJtOBlU,https://open.spotify.com/track/3tWaj9DJqVclcOmDJtOBlU,Shannon,Let the Music Play - 12 Inch Version,Let the Music Play,2006-01-01,346067,CAU118401863,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:54:23Z
10,main,Jesse Saunders,On and On,original 12-inch version,1984,spotify:track:5pQUQUi23TTkdNLOQJO8r6,https://open.spotify.com/track/5pQUQUi23TTkdNLOQJO8r6,Jesse Saunders,On & On - Vocal Album Mix,The Greatest Hitz,2010-03-09,469294,USQPM1006021,US,true,,accepted,Reviewed candidate selected: 7:49 Vocal Album Mix closely matches the documented 7:51 original 12-inch vocal mix; later remixes and short 2025 entity excluded.,2026-08-19T02:15:32Z
11,main,Model 500,No UFO's,original version,1985,spotify:track:1Ro7L7RPp5P8heOfW4EQKA,https://open.spotify.com/track/1Ro7L7RPp5P8heOfW4EQKA,Model 500,No Ufo's - Vocal,No Ufo's (Original Version),1985-01-01,258933,NOAPI1794091,US,true,,accepted,"Reviewed candidate selected: Original 1985 release entity, 4:19 vocal A-side; instrumental and later remixes excluded.",2026-08-19T02:15:33Z
12,main,MC A.D.E.,Bass Rock Express,original 12-inch version,1985,spotify:track:0s5QZyozbPX0KgxJL9YSeN,https://open.spotify.com/track/0s5QZyozbPX0KgxJL9YSeN,M.C. A.D.E.,Bass Rock Express,Bass of 4-Sight,1992,366066,USASN0902089,US,true,,accepted,"Reviewed candidate selected: Full 6:06 Bass Rock Express entity matches the original 12 inch program, excluding unrelated artist results.",2026-08-19T02:09:44Z
13,main,Mr. Fingers,Mystery of Love,original version,1985,spotify:track:1E8hMeQvfgvQPjN3BZ2viF,https://open.spotify.com/track/1E8hMeQvfgvQPjN3BZ2viF,Mr. Fingers,Mystery of Love,Amnesia,2011-01-01,430576,US4G90400213,US,true,,accepted,Reviewed candidate selected: Full 7:11 Mystery of Love recording; mixed excerpt and later remix excluded.,2026-08-19T02:10:33Z
14,main,Marshall Jefferson,Move Your Body (The House Music Anthem),original version,1986,spotify:track:3aWW1oqfrF1fsLJ0ynB2hi,https://open.spotify.com/track/3aWW1oqfrF1fsLJ0ynB2hi,Marshall Jefferson,Move Your Body,"Chicago Trax, Vol. 1",2007-06-05,468226,USA560680245,US,true,,accepted,Reviewed candidate selected: Full 7:48 Trax recording matches the original full-length mix; short remaster candidate excluded.,2026-08-19T02:13:41Z
15,main,Adonis,No Way Back,original version,1986,spotify:track:7nQaBI1NTv5kpPyeMruTTK,https://open.spotify.com/track/7nQaBI1NTv5kpPyeMruTTK,Adonis,No Way Back,No Way Back,2018-08-24,295911,US3VR8600001,US,true,,accepted,Reviewed candidate selected: Original 1986 ISRC and full No Way Back entity; Advent remixes excluded.,2026-08-19T02:10:33Z
16,main,Phuture,Acid Tracks,original 12-inch version,1987,spotify:track:2aLXJJ2zOsBJlGTxiG0yMi,https://open.spotify.com/track/2aLXJJ2zOsBJlGTxiG0yMi,Phuture,Acid Tracks,Acid Tracks,1987,737173,GBBLG0100348,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:38Z
17,main,Frankie Knuckles feat. Jamie Principle,Your Love,original version,1987,spotify:track:0vryyKyxCFXT0gg670yNEw,https://open.spotify.com/track/0vryyKyxCFXT0gg670yNEw,Frankie Knuckles,Your Love,Baby Wants to Ride / Your Love,1987,403706,GBBLG1300318,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:38Z
18,main,Joe Smooth feat. Anthony Thomas,Promised Land,original club mix,1987,spotify:track:796T2ROxTNibXRjVhjSzCa,https://open.spotify.com/track/796T2ROxTNibXRjVhjSzCa,Joe Smooth,Promised Land,Promised Land,1988-12-11,331706,QMG9T1300034,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:38Z
19,main,Rhythim Is Rhythim,Strings of Life,original version,1987,spotify:track:0vBg4JYmBIyNgk1R3R0cX6,https://open.spotify.com/track/0vBg4JYmBIyNgk1R3R0cX6,Rhythim Is Rhythim,Strings Of Life,Strings Of Life,1987,378763,FR59R1646692,US,true,,accepted,Reviewed candidate selected: 1987 Strings Of Life release and 6:19 duration agree with the requested original.,2026-08-19T02:09:44Z
20,main,Ten City,Devotion,original club version,1987,spotify:track:340YDZMetwJq6sby0pH4gr,https://open.spotify.com/track/340YDZMetwJq6sby0pH4gr,Ten City,Devotion - Extended Version,Foundation,1989,411933,USEE10250877,US,true,,accepted,Reviewed candidate selected: Extended Version title and 6:52 duration identify the requested original club version.,2026-08-19T02:10:33Z
21,main,Inner City,Good Life,original version,1988,spotify:track:5sJiLlgQKBL81QCTOkoLB5,https://open.spotify.com/track/5sJiLlgQKBL81QCTOkoLB5,Inner City,Good Life,Paradise,1989,244773,GBAAA8900115,US,true,,accepted,Reviewed candidate selected: Plain-title 4:04 album recording matches the original approximately 4:03 version; named 12-inch remixes and later remasters excluded.,2026-08-19T02:15:33Z
22,main,A Guy Called Gerald,Voodoo Ray,original version,1988,spotify:track:6GmMFUzQdT9axTJ8aVkUZ2,https://open.spotify.com/track/6GmMFUzQdT9axTJ8aVkUZ2,A Guy Called Gerald,Voodoo Ray,Voodoo Ray,1988,267106,GXJBZ2626495,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:38Z
23,main,Technotronic feat. Ya Kid K,Pump Up the Jam,original 12-inch version,1989,spotify:track:21qnJAMtzC6S5SESuqQLEK,https://open.spotify.com/track/21qnJAMtzC6S5SESuqQLEK,Technotronic,Pump Up The Jam,Pump Up The Jam,1989-11-28,320306,BED018901375,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:38Z
24,main,Lil Louis,French Kiss,original 12-inch version,1989,spotify:track:7hnqJYCKZFW7vMoykaraZG,https://open.spotify.com/track/7hnqJYCKZFW7vMoykaraZG,"Lil' Louis, The World",French Kiss - The Original Underground Mix,Club Epic - A Collection Of Classic Dance Mixes: Volume 4,1996-01-30,591733,USSM18900036,US,true,,accepted,Reviewed candidate selected: Original Underground Mix title and 9:52 duration identify the original 12 inch version.,2026-08-19T02:09:44Z
25,main,4hero,Mr Kirk's Nightmare,original version,1990,spotify:track:6El7IY5WIj6iqWbQZwbC40,https://open.spotify.com/track/6El7IY5WIj6iqWbQZwbC40,4hero,Mr Kirk's Nightmare,Reinforced Presents Callin For Reinforcements,2008-09-01,382306,GB-SZC-07-00012,US,true,,accepted,Reviewed candidate selected: Only playable artist/title candidate is the full 6:22 Reinforced archival recording.,2026-08-19T02:10:33Z
26,main,Joey Beltram,Energy Flash,original version,1990,spotify:track:46ddej1ibGIgs58H0wakoK,https://open.spotify.com/track/46ddej1ibGIgs58H0wakoK,Joey Beltram,Energy Flash,Classics,1996-01-01,350813,BEZ350800044,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:39Z
27,main,The Orb,Little Fluffy Clouds,original version,1990,spotify:track:7H8OEVxkCgIvAvWp1MZBxw,https://open.spotify.com/track/7H8OEVxkCgIvAvWp1MZBxw,The Orb,Little Fluffy Clouds,Adventures Beyond The Ultraworld,1991-04-02,267666,GBAAN9100004,US,true,,accepted,Reviewed candidate selected: Adventures Beyond The Ultraworld album entity and original ISRC agree; remixes and live versions excluded.,2026-08-19T02:10:34Z
28,main,LFO,LFO,Leeds Warehouse Mix,1990,spotify:track:5AMGYRhiqZoCYkJEK3yqgi,https://open.spotify.com/track/5AMGYRhiqZoCYkJEK3yqgi,LFO,LFO - Leeds Warehouse Mix,Frequencies,1991-07-22,319000,GBBPW9000014,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:54:36Z
29,main,Mescalinum United,We Have Arrived,original version,1990,spotify:track:6jg7l0KCQbmqy7rDdGi6N7,https://open.spotify.com/track/6jg7l0KCQbmqy7rDdGi6N7,Mescalinum United,We Have Arrived - Orginal Mix,"Marc Acardipane Best of 1989-1998, Vol. 2",2006-11-10,254653,DEN450600040,US,true,,accepted,Reviewed candidate selected: Original Mix title and 4:15 duration identify the requested recording despite the platform misspelling.,2026-08-19T02:09:44Z
30,main,Masters at Work,The Ha Dance,original version,1991,spotify:track:4x1E99Fe36e06M5YbLBgMC,https://open.spotify.com/track/4x1E99Fe36e06M5YbLBgMC,Masters At Work,The Ha Dance,The House Of Cutting,1997-05-01,202773,USCRI9722819,US,true,,accepted,"Reviewed candidate selected: The House of Cutting vocal entity is the requested original Ha Dance, not a later remix.",2026-08-19T02:10:34Z
31,main,Lennie De Ice,We Are I.E.,original version,1991,,,,,,,,,,,,unavailable,"Requested version unavailable: The 1991 original runs about 7:41; Spotify exposes later remixes and a 4:58 Original Extended Edit, not the requested full original.",2026-08-19T02:15:59Z
32,main,The Future Sound of London,Papua New Guinea,original 12-inch version,1991,spotify:track:5zh23oMbATQlWbwEe5U0KG,https://open.spotify.com/track/5zh23oMbATQlWbwEe5U0KG,The Future Sound Of London,Papua New Guinea,Accelerator,1991,405293,GBELY0600006,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:39Z
33,main,SL2,On a Ragga Tip,original version,1992,spotify:track:3IqJLxzmPEmEbqy4djgQ49,https://open.spotify.com/track/3IqJLxzmPEmEbqy4djgQ49,SL2,"On a Ragga Tip - Original 12"" Mix",XL Recordings: The First Chapters,2008-08-04,309360,GBBKS9200081,US,true,,accepted,"Reviewed candidate selected: Explicit Original 12 inch Mix title, original ISRC, and 5:09 duration agree.",2026-08-19T02:09:44Z
34,main,Age of Love,The Age of Love,Watch Out for Stella Club Mix,1992,spotify:track:4u88MrYJ8ZCnmUdjITNGKz,https://open.spotify.com/track/4u88MrYJ8ZCnmUdjITNGKz,"Age Of Love, Jam & Spoon",The Age Of Love - Jam & Spoon Watch Out For Stella Mix,The Age Of Love (Radio Edit),1990-01-01,408773,BEE329000130,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:54:42Z
35,main,Euromasters,Amsterdam Waar Lech Dat Dan?,original version,1992,spotify:track:1HDUwC2GSgLawKyVTTKO5r,https://open.spotify.com/track/1HDUwC2GSgLawKyVTTKO5r,Euromasters,Amsterdam... Waar lech dat dan? - Maastunnel Mix,Amsterdam... Waar lech dat dan?,2011-05-09,263639,NLC050200925,US,true,,accepted,Reviewed candidate selected: Maastunnel Mix is the original named Euromasters version and has a stable ISRC.,2026-08-19T02:10:34Z
36,main,Aphex Twin,Xtal,album version,1992,spotify:track:7o2AeQZzfCERsRmOM86EcB,https://open.spotify.com/track/7o2AeQZzfCERsRmOM86EcB,Aphex Twin,Xtal,Selected Ambient Works 85-92,1992-02-10,293751,BEZ350800022,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:39Z
37,main,Orbital,Halcyon + On + On,album version,1993,spotify:track:5xcunlfaZvD9BDQsLONI7A,https://open.spotify.com/track/5xcunlfaZvD9BDQsLONI7A,Orbital,HALCYON + ON + ON,Orbital 2,1993-01-01,567106,GBAAP9500471,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:39Z
38,main,Hardfloor,Acperience 1,original version,1992,spotify:track:2IQ61J0AFfjnxBm4lQEU0W,https://open.spotify.com/track/2IQ61J0AFfjnxBm4lQEU0W,Hardfloor,Acperience 1,TB Resucitation,1993-05-01,542939,DEP999300001,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:39Z
39,main,2 Unlimited,No Limit,Extended Mix,1993,spotify:track:1Iliw12oB5w4ALHiVqj4VB,https://open.spotify.com/track/1Iliw12oB5w4ALHiVqj4VB,2 Unlimited,No Limit - Extended Mix,Summer Hitz: Throwback 4,2020-03-03,355014,BEAA10075003,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:54:45Z
