block_id,years,title,target_tracks,target_transnational_or_non_us_min,core_us_scenes,global_circuits,central_question
HH01,before 1973,Before the name,12,2,"African American oral performance; funk; soul; disco; radio; Black Arts spoken word","Jamaican sound systems; Caribbean migration; African and diasporic continuities","Which practices became usable materials without being relabeled as hip-hop after the fact?"
HH02,1973-1979,The live culture before the record industry,8,1,"Bronx; Harlem; Manhattan clubs; borough party and tape networks","Jamaican-American exchange; early touring and media circulation","What did records fail to capture about DJs MCs dancers crews and parties?"
HH03,1979-1984,Recorded rap and electro,18,3,"New York; New Jersey; Philadelphia; Los Angeles electro","United Kingdom; France; Japan; early transatlantic uptake","How did studios and labels translate a live culture into saleable records?"
HH04,1984-1988,The new school and the sample turn,18,3,"New York; Philadelphia; Los Angeles; Miami bass","United Kingdom; France; Germany; Japan","How did drum machines sampling and a harder vocal attack redefine recorded rap?"
HH05,1988-1992,Plural golden ages,24,4,"New York; New Jersey; Philadelphia; Los Angeles; Bay Area; Houston; Atlanta","France; United Kingdom; Canada; South Africa; Senegal","Why is one singular golden age too narrow for simultaneous political lyrical dance and regional innovations?"
HH06,1992-1996,Regional systems become unmistakable,26,5,"New York; Philadelphia; Los Angeles; Bay Area; Houston; Memphis; Miami; New Orleans; Atlanta; Chicago; Detroit","France; United Kingdom; Germany; Brazil; South Africa; Tanzania","How did local infrastructure create distinct production economies flows and audiences?"
HH07,1996-2000,Expansion counterpublics and producer worlds,22,5,"New York underground; Philadelphia; Bay Area; Atlanta; New Orleans; Houston; Detroit; Chicago","France; United Kingdom; Canada; Japan; Senegal; Brazil","How did independent labels turntablism beat science and global scenes answer commercial consolidation?"
HH08,2000-2006,The South mixtapes and producer power,22,4,"Atlanta; Houston; Memphis; New Orleans; Virginia; Chicago; New York mixtapes","United Kingdom; France; Canada; Ghana; Tanzania; Brazil","How did regional and informal distribution systems move the center of gravity?"
HH09,2006-2011,Internet transition and weakened gates,16,4,"Atlanta; Chicago; New Orleans; Houston; Bay Area; blog networks","United Kingdom; France; Canada; South Africa; Japan; Palestinian and Arab scenes","What changed when blogs downloads video and Auto-Tune loosened older label and radio gates?"
HH10,2011-2016,A fractured center,20,5,"Chicago drill; Atlanta trap; Los Angeles; New York revival; independent internet scenes","United Kingdom; France; Canada; South Africa; Australia; Korea; Japan","How did drill cloud rap mature trap and renewed political albums coexist without one dominant center?"
HH11,2016-2020,The SoundCloud and platform era,16,6,"South Florida; Atlanta; Los Angeles; Chicago; New York; decentralized internet scenes","United Kingdom; France; Canada; Ghana; Nigeria; South Africa; Korea; Latin America","How did platform form alter song length distortion melody circulation and the meaning of underground?"
HH12,2020-present,The unfinished present,18,8,"Detroit; Flint; Memphis; Atlanta; New York; Los Angeles; Chicago; independent ecosystems","United Kingdom; France; Ireland; Ghana; Nigeria; South Africa; Uganda; Brazil; Colombia; Japan; Korea; India; Australia","Which developments are durable enough to teach and which remain provisional?"
