order,tier,chapter,artist,track,version,year,primary_genre,region,secondary_links,availability_status
1,main,I,King Tubby,Dub from the Roots,album version,1974,dub / soundsystem ancestry,"Kingston, Jamaica",studio-as-instrument; bass culture,Spotify verified playable; included in 146-track edition
2,main,I,Donna Summer,I Feel Love,original 12-inch version,1977,electronic disco,Munich / United States,sequenced disco; synth bass,Spotify verified playable; included in 146-track edition
3,main,I,Yellow Magic Orchestra,Rydeen,album version,1979,technopop,"Tokyo, Japan",electro; synth-pop,Spotify verified playable; included in 146-track edition
4,main,I,Kraftwerk,Numbers,album version,1981,electro blueprint,"Düsseldorf, Germany",machine funk; techno ancestry,Spotify verified playable; included in 146-track edition
5,main,I,D-Train,You're the One for Me,12-inch vocal version,1981,boogie / post-disco,"New York City, United States",garage; house ancestry,Exact version unavailable on Spotify; omitted from 146-track edition
6,main,I,Patrick Cowley feat. Sylvester,Do Ya Wanna Funk,12-inch version,1982,Hi-NRG,"San Francisco, United States",queer disco; synth disco,Spotify verified playable; included in 146-track edition
7,main,I,Afrika Bambaataa & the Soulsonic Force,Planet Rock,original 12-inch version,1982,electro / hip-hop,"New York City, United States",808; breakdance; Kraftwerk transmission,Spotify verified playable; included in 146-track edition
8,main,I,Cybotron,Clear,original version,1983,Detroit electro / proto-techno,"Detroit, United States",machine funk; techno ancestry,Spotify verified playable; included in 146-track edition
9,main,II,Shannon,Let the Music Play,12-inch version,1983,freestyle,"New York City, United States",electro; Latin syncopation; pop,Spotify verified playable; included in 146-track edition
10,main,II,Jesse Saunders,On and On,original 12-inch version,1984,early Chicago house,"Chicago, United States",DIY drum-machine house,Spotify verified playable; included in 146-track edition
11,main,II,Model 500,No UFO's,original version,1985,Detroit techno,"Detroit, United States",electro; Afrofuturism,Spotify verified playable; included in 146-track edition
12,main,II,MC A.D.E.,Bass Rock Express,original 12-inch version,1985,Miami bass,"Miami, United States",808 sub-bass; party command; electro,Spotify verified playable; included in 146-track edition
13,main,II,Mr. Fingers,Mystery of Love,original version,1985,deep house,"Chicago, United States",ambient warmth; inward house,Spotify verified playable; included in 146-track edition
14,main,II,Marshall Jefferson,Move Your Body (The House Music Anthem),original version,1986,piano house,"Chicago, United States",gospel; vocal house,Spotify verified playable; included in 146-track edition
15,main,II,Adonis,No Way Back,original version,1986,Chicago house,"Chicago, United States",jack track; acid-era minimalism,Spotify verified playable; included in 146-track edition
16,main,II,Phuture,Acid Tracks,original 12-inch version,1987,acid house,"Chicago, United States",TB-303; long-form modulation,Spotify verified playable; included in 146-track edition
17,main,II,Frankie Knuckles feat. Jamie Principle,Your Love,original version,1987,Chicago house,"Chicago, United States",synth-pop; vocal house,Spotify verified playable; included in 146-track edition
18,main,II,Joe Smooth feat. Anthony Thomas,Promised Land,original club mix,1987,gospel / vocal house,"Chicago, United States",utopian house; piano house,Spotify verified playable; included in 146-track edition
19,main,II,Rhythim Is Rhythim,Strings of Life,original version,1987,Detroit techno,"Detroit, United States",piano; orchestral techno,Spotify verified playable; included in 146-track edition
