position,block_id,release_year,artist,title,intended_version,scene_or_country,route_tags,primary_teaching_job,selection_status,metadata_status,metadata_source_url,soundcloud_status,soundcloud_url,soundcloud_id,soundcloud_uploader,soundcloud_duration_ms,soundcloud_access,resolution_note,guide_anchor,notes
1,HH01,1968,Pigmeat Markham,Here Comes the Judge,original single version,United States,spoken-rhythm; comedy; precursor,Comic rhythmic address and mass-media crossover,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/8ce34c68-516c-41fb-8258-f45a5dae0146,resolved_exact,https://soundcloud.com/pigmeat-markham/here-comes-the-judge,253008898,Pigmeat Markham,160914,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-001,Context only; do not declare direct invention
2,HH01,1969,King Stitt,Fire Corner,original single version,Jamaica,sound-system; deejay; precursor,Jamaican deejay address and version culture,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/6d63e117-5440-489b-9e2d-22cff8b5f4b1,resolved_exact,https://soundcloud.com/kingstitt-music/fire-corner,1340286832,King Stitt,172069,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-002,Transnational context
3,HH01,1970,The Last Poets,When the Revolution Comes,original album version,New York,spoken-word; political; precursor,Militant ensemble speech and percussion,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/09c290f6-56d8-4eb1-b904-608c2ffac9f3,resolved_exact_unofficial,https://soundcloud.com/dexter-morgan-831382115/when-the-revolution-comes,282999874,dexter morgan,149956,open_or_monetized,"The audio and publisher metadata identify The Last Poets' original recording, but the SoundCloud uploader is the unrelated user dexter morgan. The link is an availability source, not an artist attribution.",track-003,Recognition prompt remains open
4,HH01,1970,U-Roy,Wake the Town,original single version,Jamaica,sound-system; deejay; version,Recorded deejay performance over an existing rhythm,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/u-roy/wake-the-town-1,resolved_exact,https://soundcloud.com/u-roy/wake-the-town-1,743027314,U-Roy,242442,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-004,Do not reduce hip-hop to a single Jamaican parent line
5,HH01,1970,James Brown,Funky Drummer,complete original single performance,Cincinnati / United States,funk; break; drums,Clyde Stubblefield break as later sample material,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/james-brown-music/funky-drummer,resolved_exact,https://soundcloud.com/james-brown-music/funky-drummer,255780367,James Brown,334502,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-005,Exact full version requires verification
6,HH01,1971,The Watts Prophets,Dem Niggers Ain't Playing,original album version,Los Angeles,spoken-word; political; precursor,West Coast Black Arts rhythmic speech,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/9fc8df53-76f1-494a-9516-def9adceaf0e,unavailable_exact,,,,,,Only a mashup and uncertain user uploads were found; no exact original-album recording is accepted.,track-006,Title is historical artist wording
7,HH01,1971,Gil Scott-Heron,The Revolution Will Not Be Televised,full-band Pieces of a Man version,New York,spoken-word; jazz; political,Media critique and rhythmic address,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/gil-scott-heron-official/the-revolution-will-not-be,resolved_exact,https://soundcloud.com/gil-scott-heron-official/the-revolution-will-not-be,277500337,Gil Scott-Heron,187376,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-007,Distinguish from earlier Small Talk version
8,HH01,1972,The Jimmy Castor Bunch,It's Just Begun,original album version,New York,funk; break; dance,Break culture and b-boy afterlife,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/thejimmycastorbunch/its-just-begun-1,resolved_exact,https://soundcloud.com/thejimmycastorbunch/its-just-begun-1,960959827,The Jimmy Castor Bunch,210390,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-008,Verify album timing
9,HH01,1972,Babe Ruth,The Mexican,original First Base album version,United Kingdom,rock; break; transatlantic,Unexpected break source and transatlantic record circulation,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/babe-ruth-official/the-mexican,resolved_exact,https://soundcloud.com/babe-ruth-official/the-mexican,254613379,Babe Ruth,205968,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-009,Not a rap record
10,HH01,1972,Cymande,Bra,original album version,United Kingdom,funk; break; diaspora,Diasporic British funk in break selection,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/cymandeofficial/bra,resolved_exact,https://soundcloud.com/cymandeofficial/bra,1178825680,Cymande,306390,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-010,Not a rap record
